,zip_code,week_number,week_start,week_end,tests_weekly,tests_cumulative,test_rate_weekly,test_rate_cumulative,percent_tested_positive_weekly,percent_tested_positive_cumulative,deaths_weekly,deaths_cumulative,death_rate_weekly,death_rate_cumulative,population,row_id,zip_code_location,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,cases_weekly,cases_cumulative,case_rate_weekly,case_rate_cumulative
96,60610,24,2020-06-07T00:00:00.000,2020-06-13T00:00:00.000,437,3133,1120,8029.4,0.034,0.085,1,8,2.6,20.5,39019,60610-2020-24,"{'type': 'Point', 'coordinates': [-87.63581, 41.90455]}",54,37,14926,290,11,6,264,15.4,676.6
97,60610,28,2020-07-05T00:00:00.000,2020-07-11T00:00:00.000,849,5963,2175.9,15282.3,0.034,0.059,1,10,2.6,25.6,39019,60610-2020-28,"{'type': 'Point', 'coordinates': [-87.63581, 41.90455]}",54,37,14926,290,11,27,349,69.2,894.4
98,60610,31,2020-07-26T00:00:00.000,2020-08-01T00:00:00.000,867,8518,2222,21830.4,0.025,0.05,0,10,0,25.6,39019,60610-2020-31,"{'type': 'Point', 'coordinates': [-87.63581, 41.90455]}",54,37,14926,290,11,20,419,51.3,1073.8
99,60610,32,2020-08-02T00:00:00.000,2020-08-08T00:00:00.000,773,9291,1981.1,23811.5,0.038,0.049,0,10,0,25.6,39019,60610-2020-32,"{'type': 'Point', 'coordinates': [-87.63581, 41.90455]}",54,37,14926,290,11,22,441,56.4,1130.2
100,60612,1,2021-01-03T00:00:00.000,2021-01-09T00:00:00.000,2292,42096,6680.1,122689.5,0.064,0.08,0,54,0,157.4,34311,60612-2021-1,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",28,29,21184,785,46,104,2696,303.1,7857.5
101,60612,10,2021-03-07T00:00:00.000,2021-03-13T00:00:00.000,2309,61651,6729.6,179682.9,0.011,0.061,0,62,0,180.7,34311,60612-2021-10,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",28,29,21184,785,46,16,3042,46.6,8866
102,60612,3,2021-01-17T00:00:00.000,2021-01-23T00:00:00.000,2264,46735,6598.5,136210,0.029,0.076,2,57,5.8,166.1,34311,60612-2021-3,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",28,29,21184,785,46,60,2859,174.9,8332.6
103,60613,33,2020-08-09T00:00:00.000,2020-08-15T00:00:00.000,1067,12312,2129.2,24568.5,0.021,0.049,0,31,0,61.9,50113,60613-2020-33,"{'type': 'Point', 'coordinates': [-87.661343, 41.953742]}",53,57,21186,725,25,20,609,39.9,1215.3
104,60613,35,2020-08-23T00:00:00.000,2020-08-29T00:00:00.000,1052,14510,2099.3,28954.6,0.025,0.045,0,31,0,61.9,50113,60613-2020-35,"{'type': 'Point', 'coordinates': [-87.661343, 41.953742]}",53,57,21186,725,25,31,671,61.9,1339
105,60613,36,2020-08-30T00:00:00.000,2020-09-05T00:00:00.000,1202,15712,2398.6,31353.1,0.032,0.044,0,31,0,61.9,50113,60613-2020-36,"{'type': 'Point', 'coordinates': [-87.661343, 41.953742]}",53,57,21186,725,25,37,708,73.8,1412.8
106,60613,39,2020-09-20T00:00:00.000,2020-09-26T00:00:00.000,1145,19070,2284.8,38054,0.027,0.041,0,31,0,61.9,50113,60613-2020-39,"{'type': 'Point', 'coordinates': [-87.661343, 41.953742]}",53,57,21186,725,25,37,812,73.8,1620.3
107,60613,41,2020-10-04T00:00:00.000,2020-10-10T00:00:00.000,1940,22592,3871.3,45082.1,0.029,0.04,2,33,4,65.9,50113,60613-2020-41,"{'type': 'Point', 'coordinates': [-87.661343, 41.953742]}",53,57,21186,725,25,64,932,127.7,1859.8
108,60666,9,2021-02-28T00:00:00.000,2021-03-06T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,60666-2021-9,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29,,,,
109,60603,48,2020-11-22T00:00:00.000,2020-11-28T00:00:00.000,49,816,4173.8,69506,0.082,0.053,0,0,0,0,1174,60603-2020-48,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,4,37,340.7,3151.6
110,60615,45,2020-11-01T00:00:00.000,2020-11-07T00:00:00.000,2190,27762,5269.1,66795,0.059,0.038,0,16,0,38.5,41563,60615-2020-45,"{'type': 'Point', 'coordinates': [-87.602725, 41.801993]}",10,8,21192,147,33,119,950,286.3,2285.7
111,60615,11,2021-03-14T00:00:00.000,2021-03-20T00:00:00.000,2070,67677,4980.4,162829.9,0.012,0.033,0,36,0,86.6,41563,60615-2021-11,"{'type': 'Point', 'coordinates': [-87.602725, 41.801993]}",10,8,21192,147,33,21,2035,50.5,4896.2
