Name,Location ,Status,Date,,
Gene & Georgetti ,Rosemont,Permanently closed,Oct-20,,
Hamburger Marry's,Anderson ville ,Temporary closed,Oct-20,,
Ballast Point,Fulton Market,Temporary closed,Oct-20,,
City Mouse ,Fulton Market,Permanently closed,Oct-20,,
The Huettenbar,Lincoln Square,Temporary closed,Oct-20,,
Hutch American Café,River North ,Permanently closed,Oct-20,,
Grant Park Bistro ,Southloop,Temporary closed,Oct-20,,
Standing Room Only,Southloop,Permanently closed,Oct-20,,
Everest,The loop,Permanently closed,Oct-20,,
Dove's Luncheonette,Wicker Park,Temporary closed,Oct-20,,
Belmont Snack Shop,Avondale,Permanently closed,Oct-20,,
Monti's ,Lincoln Square,Temporary closed,Oct-20,,
Masa Azul,Logan Square,Temporary closed,Oct-20,,
Old Country Buffet,Monclare,Permanently closed,Oct-20,,
Elske,westloop,Temporary closed,Oct-20,,
Maude's Liquor Bar,westloop,Permanently closed,Oct-20,,
Northside Bar & Grill,Wicker Park,Permanently closed,Oct-20,,
Schoolyard Tavern & Grill,Lakeview,Permanently closed,Oct-20,,
Mundano,Lincoln Park,Permanently closed,Oct-20,,
Fountainhead,Lincoln Square,Permanently closed,Oct-20,,
Pub 626,Rogers Park,Permanently closed,Oct-20,,
BomboBar,Old Town,Permanently closed,Sep-20,,
Erick's Tacos,Ravenswood,Permanently closed,Sep-20,,
Barton G,River North ,Permanently closed,Sep-20,,
Artisan Cellar ,River North ,Permanently closed,Sep-20,,
Ruth's Chris Steak House,River North ,Permanently closed,Sep-20,,
Pierogi Heaven,The loop,Permanently closed,Sep-20,,
Cake Box Bakery,Arlington Heights,Permanently closed,Sep-20,,
Mo Daileys Pub & Grille ,Norwood Park,Permanently closed,Sep-20,,
Department of Coffe and Social Affairs,Lakeview,Permanently closed,Sep-20,,
Fat Willy's Rib Shack ,Logan Square,Temporary closed,Sep-20,,
La Catedral Café and Restaurants,Ravenswood,Permanently closed,Sep-20,,
Gino's East ,River North ,Permanently closed,Sep-20,,
Lawry's the Prime Rib,River North ,Permanently closed,Sep-20,,
Twisted Tapas,Rogers Park,Permanently closed,Sep-20,,
Southport Lanes,Southport Corridor,Permanently closed,Sep-20,,
La Macchina,Evanston,Permanently closed,Sep-20,,
Unicorn,Evanston,Permanently closed,Sep-20,,
Big Bricks ,North Center,Permanently closed,Sep-20,,
U.B.Dogs,The loop,Permanently closed,Sep-20,,
Wells Street Market,The loop,Temporary closed,Sep-20,,
Redmond's Ale House,Wrigleyville,Permanently closed,Sep-20,,
Passerotto,Anderson ville ,Permanently closed,Sep-20,,
Grill on the Alley,Gold Coast,Permanently closed,Sep-20,,
Glaze Teriyaki Grill,Lakeview,Permanently closed,Sep-20,,
Ronny's Original,The loop,Permanently closed,Sep-20,,
Flat Iron ,Wicker Park,Temporary closed,Sep-20,,
Grecco's ,Willow Springs,Permanently closed,Sep-20,,
Khyber Pass,Lakeview,Permanently closed,Sep-20,,
Kroll's South Loop,South Loop,Permanently closed,Sep-20,,
Art of Dosa,West Town ,Temporary closed,Sep-20,,
Thai Little Home,Arlington Heights,Permanently closed,Sep-20,,
Le Pain Quotidien,Lincoln Park,Permanently closed,Sep-20,,
Giglio's,South Loop,Permanently closed,Sep-20,,
3 Squares Diner,Uptown,Permanently closed,Sep-20,,
Tin Fish ,Tinley Park,Permanently closed,Sep-20,,
Harold's Chicken ,Chatham,Permanently closed,Aug-20,,
Rainforest Café,River North ,Permanently closed,Aug-20,,
Happy Chinese Kitchen ,South Loop,Permanently closed,Aug-20,,
Taco Burrito King,The loop,Permanently closed,Aug-20,,
Glass & the Cellar,Evanston,Permanently closed,Aug-20,,
Ay Ay Picante,Albany Park ,Permanently closed,Aug-20,,
Fatpour Tap Works,River North ,Permanently closed,Aug-20,,
Bidgeport Coffee Company,South Loop,Permanently closed,Aug-20,,
Ramen Misoya,Streetville,Permanently closed,Aug-20,,
Bar Biscay,West Town ,Permanently closed,Aug-20,,
Walton Street Kitchen & Bar,Gold Coast,Permanently closed,Aug-20,,
Ironside Bar and Galley,River North ,Permanently closed,Aug-20,,
ZED451,River North ,Permanently closed,Aug-20,,
Tantrum,South Loop,Permanently closed,Aug-20,,
Grand Trunk Road,Lincoln Park,Permanently closed,Jul-20,,
Bottled Blonde,River North ,Permanently closed,Jul-20,,
Concrete Cowboy,River North ,Permanently closed,Jul-20,,
Jason's Deli ,The loop,Permanently closed,Jul-20,,
Rack House Kitchen and Tavern,Arlington Heights,Permanently closed,Jul-20,,
El Gordo ,Portage Park,Permanently closed,Jul-20,,
Farmhouse,River North ,Permanently closed,Jul-20,,
Bulldog Ale House ,South Loop,Permanently closed,Jul-20,,
Cite,Streetville,Permanently closed,Jul-20,,
Tecalitlan ,Ukrainian Village,Permanently closed,Jul-20,,
Guthries Tavern ,Wrigleyville,Permanently closed,Jul-20,,
Sala Pao Shop,Bucktown,Temporary closed,Jul-20,,
Chubby Weiners ,Lincoln Square,Temporary closed,Jul-20,,
Kiki's Bistro ,River North ,Permanently closed,Jul-20,,
The Scout,South Loop,Permanently closed,Jul-20,,
Greek Feast,Mount Prospect,Permanently closed,Jul-20,,
Litle Jim's Tavern ,Boystown,Permanently closed,Jul-20,,
Vienna Beef,Bucktown ,Permanently closed,Jul-20,,
Rickshaw Republic,Lincoln Park,Permanently closed,Jul-20,,
La Fontanella,Heart of Chicago,Permanently closed,Jul-20,,
South Coast Sushi,South Loop,Permanently closed,Jul-20,,
Bite Café,Ukrainian Village,Permanently closed,Jul-20,,
Step Down Café,Pilsen,Permanently closed,Jun-20,,
Asian Cajun Plus,South Loop,Permanently closed,Jun-20,,
Nick's Uptown ,Uptown,Permanently closed,Jun-20,,
