week_number,week_start,week_end,tests_weekly,tests_cumulative,test_rate_weekly,test_rate_cumulative,percent_tested_positive_weekly,percent_tested_positive_cumulative,deaths_weekly,deaths_cumulative,death_rate_weekly,death_rate_cumulative,population,row_id,zip_code_location,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,cases_weekly,cases_cumulative,case_rate_weekly,case_rate_cumulative
6,2021-02-07T00:00:00.000,2021-02-13T00:00:00.000,1731,81748.0,2437.2,115100.7,0.062,0.116,3.0,110.0,4.2,154.9,71023,60641-2021-6,"{'type': 'Point', 'coordinates': [-87.746791, 41.946682]}",21,15,22618,139,21,80,7900,112.6,11123.2
7,2021-02-14T00:00:00.000,2021-02-20T00:00:00.000,1563,83311.0,2200.7,117301.4,0.07,0.115,3.0,113.0,4.2,159.1,71023,60641-2021-7,"{'type': 'Point', 'coordinates': [-87.746791, 41.946682]}",21,15,22618,139,21,100,8000,140.8,11264.0
15,2020-04-05T00:00:00.000,2020-04-11T00:00:00.000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60666-2020-15,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29,0,0,0.0,0.0
12,2020-03-15T00:00:00.000,2020-03-21T00:00:00.000,52,58.0,161.5,180.1,0.173,0.172,1.0,1.0,3.1,3.1,32203,60636-2020-12,"{'type': 'Point', 'coordinates': [-87.668597, 41.77599]}",23,65,22257,280,3,12,14,37.3,43.5
10,2020-03-01T00:00:00.000,2020-03-07T00:00:00.000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57344,60630-2020-10,"{'type': 'Point', 'coordinates': [-87.759611, 41.971261]}",48,11,21869,129,50,0,0,0.0,0.0
8,2021-02-21T00:00:00.000,2021-02-27T00:00:00.000,1893,85204.0,2665.3,119966.8,0.072,0.114,1.0,114.0,1.4,160.5,71023,60641-2021-8,"{'type': 'Point', 'coordinates': [-87.746791, 41.946682]}",21,15,22618,139,21,108,8108,152.1,11416.0
10,2020-03-01T00:00:00.000,2020-03-07T00:00:00.000,3,3.0,10.7,10.7,0.0,0.0,0.0,0.0,0.0,0.0,27987,60646-2020-10,"{'type': 'Point', 'coordinates': [-87.761826, 41.993931]}",18,12,22532,782,38,0,0,0.0,0.0
2,2021-01-10T00:00:00.000,2021-01-16T00:00:00.000,1143,29438.0,4153.5,106973.4,0.051,0.054,1.0,10.0,3.6,36.3,27519,60605-2021-2,"{'type': 'Point', 'coordinates': [-87.623449, 41.867824]}",35,38,14913,368,10,55,1536,199.9,5581.6
22,2020-05-24T00:00:00.000,2020-05-30T00:00:00.000,615,4840.0,1046.0,8231.7,0.101,0.237,3.0,29.0,5.1,49.3,58797,60638-2020-22,"{'type': 'Point', 'coordinates': [-87.771902, 41.787032]}",7,53,22268,590,15,55,1044,93.5,1775.6
46,2020-11-08T00:00:00.000,2020-11-14T00:00:00.000,209,3821.0,6739.8,123218.3,0.139,0.073,0.0,1.0,0.0,32.2,3101,60606-2020-46,"{'type': 'Point', 'coordinates': [-87.63676, 41.882634]}",46,38,14914,92,36,19,145,612.7,4675.9
43,2020-10-18T00:00:00.000,2020-10-24T00:00:00.000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60666-2020-43,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29,0,0,0.0,0.0
20,2020-05-10T00:00:00.000,2020-05-16T00:00:00.000,562,2837.0,980.1,4947.3,0.212,0.205,5.0,29.0,8.7,50.6,57344,60630-2020-20,"{'type': 'Point', 'coordinates': [-87.759611, 41.971261]}",48,11,21869,129,50,105,633,183.1,1103.9
12,2020-03-15T00:00:00.000,2020-03-21T00:00:00.000,98,111.0,285.6,323.5,0.153,0.135,0.0,0.0,0.0,0.0,34311,60612-2020-12,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",28,29,21184,785,46,19,19,55.4,55.4
14,2020-03-29T00:00:00.000,2020-04-04T00:00:00.000,138,273.0,475.2,940.0,0.399,0.322,3.0,4.0,10.3,13.8,29042,60621-2020-14,"{'type': 'Point', 'coordinates': [-87.638812, 41.776931]}",11,66,21559,435,4,54,91,185.9,313.3
15,2020-04-05T00:00:00.000,2020-04-11T00:00:00.000,16,71.0,124.3,551.6,0.25,0.169,0.0,0.0,0.0,0.0,12871,60633-2020-15,"{'type': 'Point', 'coordinates': [-87.556037, 41.653147]}",26,52,22250,586,47,5,16,38.8,124.3
